Order_ID,Order_Date,Ship_Date,Region,Segment,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-2022-00001,2022-04-13,2022-04-18,West,Consumer,Office Supplies,Binders,Premium Binder A4,6435.62,7,0.0,763.1
ORD-2022-00002,2022-12-10,2022-12-15,West,Consumer,Furniture,Storage,File Cabinet 4-Drawer,7953.93,1,0.05,1270.55
ORD-2022-00003,2022-07-09,2022-07-16,East,Consumer,Furniture,Tables,Dining Table Oak,64705.62,3,0.1,6464.17
ORD-2022-00004,2022-12-12,2022-12-18,North,Corporate,Furniture,Storage,Wardrobe 3-Door,10740.15,8,0.05,538.69
ORD-2022-00005,2023-04-22,2023-04-30,West,Consumer,Office Supplies,Paper,Photo Glossy Paper,4863.62,4,0.0,448.48
ORD-2022-00006,2022-12-04,2022-12-12,West,Consumer,Office Supplies,Labels,Address Label Roll,5649.6,9,,506.24
ORD-2022-00007,2023-05-14,2023-05-16,East,Corporate,Technology,Accessories,Wireless Mouse Combo,366557.1,7,0.25,-149663.84
ORD-2022-00008,2022-04-09,2022-04-14,East,Corporate,Technology,Phones,Redmi Note 12,388797.99,5,0.2,-63370.82
ORD-2022-00009,2023-07-08,2023-07-13,North,Home Office,Furniture,Tables,Dining Table Oak,57201.01,4,0.0,12913.53
ORD-2022-00010,2023-11-30,2023-12-04,North,Consumer,Technology,Phones,OnePlus Nord CE 3,82396.31,9,0.1,9873.87
ORD-2022-00011,2023-04-18,2023-04-26,West,Consumer,Furniture,Tables,Coffee Table Glass,184872.26,9,0.0,35625.06
ORD-2022-00012,2023-11-15,2023-11-24,West,Consumer,Furniture,Storage,File Cabinet 4-Drawer,37635.7,4,0.3,-13968.04
ORD-2022-00013,2022-03-22,2022-03-26,East,Corporate,Office Supplies,Paper,Carbon Paper,3614.44,5,0.05,305.18
ORD-2022-00014,2023-03-15,2023-03-19,South,Corporate,Furniture,Chairs,Ergonomic Office Chair,98375.47,4,,-21509.89
ORD-2022-00015,2023-10-22,2023-10-27,East,Corporate,Furniture,Tables,Study Desk Compact,27126.95,3,0.2,-8993.13
ORD-2022-00016,2023-04-18,2023-04-21,West,Consumer,Technology,Accessories,Laptop Cooling Pad,375458.06,9,0.05,33619.08
ORD-2022-00017,2022-08-21,2022-08-25,East,Consumer,Technology,Printers,Canon Pixma G3010,568891.13,8,0.25,-188946.18
ORD-2022-00018,2023-04-18,2023-04-22,West,Corporate,Furniture,Chairs,Executive Leather Chair,34902.86,2,0.0,5028.01
ORD-2022-00019,2023-01-27,2023-02-04,East,Consumer,Furniture,Storage,Wardrobe 3-Door,48270.45,3,0.1,-3595.88
ORD-2022-00020,2022-10-04,2022-10-11,East,Home Office,Office Supplies,Binders,Premium Binder A4,3496.22,3,0.2,-618.77
ORD-2022-00021,2022-02-06,2022-02-15,South,Consumer,Office Supplies,Pens & Art,Highlighter 6-Pack,196.93,1,0.0,41.56
ORD-2022-00022,2023-07-20,2023-07-23,West,Corporate,Furniture,Chairs,Guest Chair,55721.08,6,0.05,12475.63
ORD-2022-00023,2022-02-08,2022-02-14,North,Corporate,Office Supplies,Paper,A4 Copy Paper 500-Sheet,14646.55,8,0.1,2.86
ORD-2022-00024,2023-04-16,2023-04-24,South,Consumer,Furniture,Tables,Study Desk Compact,51238.44,6,0.3,-12825.18
ORD-2022-00025,2022-02-23,2022-02-27,North,Home Office,Office Supplies,Binders,Premium Binder A4,1514.99,7,0.05,185.81
ORD-2022-00026,2023-09-28,2023-10-01,South,Home Office,Technology,Accessories,Laptop Cooling Pad,144677.08,7,0.0,38468.91
ORD-2022-00027,2022-04-06,2022-04-13,North,Consumer,Furniture,Bookcases,Bookcase Pro 5-Shelf,23894.2,1,0.1,146.53
ORD-2022-00028,2022-03-27,2022-03-29,South,Corporate,Furniture,Tables,Dining Table Oak,19182.37,4,0.15,-2993.4
ORD-2022-00029,2023-06-06,2023-06-13,East,Consumer,Furniture,Tables,Coffee Table Glass,38480.52,3,0.1,-5668.54
ORD-2022-00030,2022-06-09,2022-06-13,West,Consumer,Office Supplies,Pens & Art,Ballpoint Pen Box,1631.85,1,0.1,122.22
ORD-2022-00031,2022-01-12,2022-01-20,South,Consumer,Furniture,Chairs,Guest Chair,15708.85,7,0.15,180.48
ORD-2022-00032,2023-05-16,2023-05-19,East,Consumer,Technology,Printers,HP LaserJet Pro,387161.9,5,0.1,-9387.72
